game_date,game_year,player_name,batter,pitcher,events,description,bb_type,launch_speed,launch_angle,hc_x,hc_y,hit_distance_sc,spray_angle,release_spin_rate,spin_rate_deprecated,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,babip_value,iso_value,home_team,away_team,inning,outs_when_up,stand,p_throws,balls,strikes,pfx_x,pfx_z,plate_x,plate_z
2023-04-08,2023,"Ohtani, Shohei",660271,621244,double,hit_into_play,line_drive,80.4,16.0,205.73,128.27,180.0,2.3195198185219095,1420.0,,0.903,0.842,1.25,1.0,1.0,LAA,TOR,4,0,L,R,1,1,-1.2,0.18,-0.53,1.53
2023-04-09,2023,"Ohtani, Shohei",660271,579328,single,hit_into_play,ground_ball,100.5,7.0,137.76,84.14,118.0,-72.65715409308544,2423.0,,0.657,0.618,0.9,1.0,0.0,LAA,TOR,5,0,L,L,3,2,-0.27,0.11,0.44,3.63
2023-04-09,2023,"Ohtani, Shohei",660271,579328,home_run,hit_into_play,fly_ball,108.6,23.0,85.71,43.86,397.0,-115.83741655840537,2577.0,,0.974,1.844,2.0,0.0,3.0,LAA,TOR,3,1,L,L,2,1,-0.19,0.19,0.89,2.26
2023-04-09,2023,"Ohtani, Shohei",660271,579328,force_out,hit_into_play,ground_ball,73.5,-30.0,143.52,175.41,3.0,69.82730282851455,2516.0,,0.051,0.054,0.0,0.0,0.0,LAA,TOR,1,1,L,L,1,2,-0.24,-0.13,-0.37,1.69
2023-04-09,2023,"Ohtani, Shohei",660271,554340,field_out,hit_into_play,ground_ball,98.2,-10.0,150.18,151.79,12.0,46.77442200694678,2906.0,,0.254,0.243,0.0,0.0,0.0,LAA,TOR,7,2,L,R,3,2,1.2,0.03,0.05,2.19
2023-04-09,2023,"Ohtani, Shohei",660271,641835,field_out,hit_into_play,ground_ball,68.3,-16.0,152.61,152.39,9.0,44.77081810424587,2139.0,,0.043,0.048,0.0,0.0,0.0,LAA,TOR,10,2,L,L,0,2,1.55,0.73,1.35,2.61
2023-04-10,2023,"Ohtani, Shohei",660271,571578,field_out,hit_into_play,ground_ball,76.2,-8.0,144.75,148.3,15.0,49.71407311560678,2045.0,,0.069,0.067,0.0,0.0,0.0,LAA,WSH,2,2,L,L,1,1,1.24,1.11,0.95,2.72
2023-04-11,2023,"Ohtani, Shohei",660271,680686,field_out,hit_into_play,fly_ball,99.6,28.0,54.81,81.93,338.0,-148.46588196460894,2334.0,,0.56,1.003,0.0,0.0,0.0,LAA,WSH,1,2,L,R,3,2,-0.04,-0.18,-0.04,1.35
2023-04-11,2023,"Ohtani, Shohei",660271,680686,single,hit_into_play,line_drive,79.1,23.0,64.19,115.95,227.0,-171.53513130449872,1869.0,,0.709,0.659,0.9,1.0,0.0,LAA,WSH,4,0,L,R,2,2,-0.15,0.71,0.81,2.8
2023-04-14,2023,"Ohtani, Shohei",660271,670174,single,hit_into_play,line_drive,77.3,18.0,106.8,96.4,214.0,-122.47119229084849,2115.0,,0.96,0.886,0.9,1.0,0.0,BOS,LAA,5,1,L,R,0,1,0.58,0.04,0.87,2.54
2023-04-14,2023,"Ohtani, Shohei",660271,670174,field_out,hit_into_play,ground_ball,84.2,-17.0,129.3,185.2,6.0,85.91438322002512,1752.0,,0.08,0.078,0.0,0.0,0.0,BOS,LAA,7,0,L,R,0,0,-1.48,0.16,-0.91,1.89
2023-04-15,2023,"Ohtani, Shohei",660271,518489,field_out,hit_into_play,ground_ball,86.0,-6.0,148.22,173.28,8.0,64.31502849368233,2514.0,,0.174,0.169,0.0,0.0,0.0,BOS,LAA,8,2,L,R,2,2,0.2,0.14,-0.17,0.91
2023-04-15,2023,"Ohtani, Shohei",660271,601713,single,hit_into_play,fly_ball,65.6,33.0,88.25,122.94,204.0,-176.79167568868277,2270.0,,0.857,0.835,0.9,1.0,0.0,BOS,LAA,5,0,L,R,2,2,-0.69,1.61,-0.53,3.28
2023-04-15,2023,"Ohtani, Shohei",660271,601713,field_out,hit_into_play,ground_ball,83.9,0.0,104.05,163.11,44.0,118.79867253860269,2215.0,,0.209,0.203,0.0,0.0,0.0,BOS,LAA,1,1,L,R,2,2,-0.39,1.55,1.03,2.77
2023-04-15,2023,"Ohtani, Shohei",660271,542947,single,hit_into_play,line_drive,107.4,8.0,142.13,91.89,214.0,-62.64447532701782,2056.0,,0.711,0.675,0.9,1.0,0.0,BOS,LAA,6,2,L,L,1,2,0.83,0.96,-0.39,2.85
2023-04-16,2023,"Ohtani, Shohei",660271,676477,field_out,hit_into_play,ground_ball,95.5,-15.0,130.96,146.32,5.0,74.38167995266704,1987.0,,0.183,0.176,0.0,0.0,0.0,BOS,LAA,1,2,L,R,1,2,0.61,-0.16,-0.18,1.45
2023-04-16,2023,"Ohtani, Shohei",660271,676477,field_out,hit_into_play,fly_ball,103.5,22.0,196.74,73.88,354.0,-35.47265318163049,2117.0,,0.637,0.92,0.0,0.0,0.0,BOS,LAA,4,0,L,R,1,1,-1.49,0.75,-0.23,1.64
2023-04-16,2023,"Ohtani, Shohei",660271,676477,field_out,hit_into_play,ground_ball,105.9,-3.0,141.0,162.03,28.0,66.63169168138789,2153.0,,0.451,0.432,0.0,0.0,0.0,BOS,LAA,7,0,L,R,0,1,0.63,-0.48,-0.06,2.33
2023-04-16,2023,"Ohtani, Shohei",660271,518489,field_out,hit_into_play,fly_ball,96.0,46.0,81.94,94.97,282.0,-145.10812057282772,2443.0,,0.011,0.015,0.0,0.0,0.0,BOS,LAA,9,2,L,R,1,1,0.57,0.12,-0.1,2.69
2023-04-17,2023,"Ohtani, Shohei",660271,676710,field_out,hit_into_play,line_drive,97.1,23.0,160.56,62.58,349.0,-60.330302182178535,1196.0,,0.257,0.295,0.0,0.0,0.0,BOS,LAA,9,1,L,R,1,0,-1.22,0.02,-0.6,2.06
2023-04-17,2023,"Ohtani, Shohei",660271,676710,field_out,hit_into_play,fly_ball,81.2,39.0,148.69,89.36,280.0,-56.38791112773898,2373.0,,0.031,0.034,0.0,0.0,0.0,BOS,LAA,4,0,L,R,1,1,0.26,0.6,0.78,3.06
2023-04-17,2023,"Ohtani, Shohei",660271,678394,single,hit_into_play,line_drive,105.6,12.0,146.73,122.66,201.0,-6.146224661770712,2077.0,,0.92,0.932,0.9,1.0,0.0,BOS,LAA,1,1,L,R,0,0,-0.72,1.09,0.78,3.03
2023-04-17,2023,"Ohtani, Shohei",660271,676710,field_error,hit_into_play,ground_ball,62.5,-78.0,136.82,189.67,0.0,79.64214592731963,1120.0,,0.174,0.17,0.9,0.0,0.0,BOS,LAA,6,1,L,R,1,0,-1.12,0.39,0.42,1.3
2023-04-17,2023,"Ohtani, Shohei",660271,678394,single,hit_into_play,ground_ball,88.8,7.0,193.5,104.65,114.0,-16.5456469087218,2398.0,,0.491,0.453,0.9,1.0,0.0,BOS,LAA,2,0,L,R,2,0,0.37,0.0,-0.35,1.95
2023-04-18,2023,"Ohtani, Shohei",660271,622772,field_out,hit_into_play,fly_ball,78.8,31.0,175.21,113.64,281.0,-12.748520331254033,2434.0,,0.114,0.121,0.0,0.0,0.0,NYY,LAA,7,1,L,R,1,2,0.75,0.36,0.56,2.23
