game_date,game_year,player_name,batter,pitcher,events,description,bb_type,launch_speed,launch_angle,hc_x,hc_y,hit_distance_sc,spray_angle,release_spin_rate,spin_rate_deprecated,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,babip_value,iso_value,home_team,away_team,inning,outs_when_up,stand,p_throws,balls,strikes,pfx_x,pfx_z,plate_x,plate_z
2025-03-02,2025,"Ohtani, Shohei",660271,690279,single,hit_into_play,line_drive,88.3,19.0,131.87,104.97,261.0,-71.06877398095,2338.0,,0.617,,0.9,1.0,0.0,LAD,CWS,4,0,L,R,0,0,0.07,0.83,0.56,2.87
2025-03-04,2025,"Ohtani, Shohei",660271,695534,single,hit_into_play,line_drive,109.8,10.0,166.81,140.8,180.0,20.70157990744891,2345.0,,0.897,,0.9,1.0,0.0,LAD,CIN,3,1,L,R,2,1,-0.5,0.14,0.0,1.99
2025-03-04,2025,"Ohtani, Shohei",660271,695534,field_out,hit_into_play,ground_ball,109.6,-5.0,153.61,162.48,26.0,52.64404165400251,2355.0,,0.398,,0.0,0.0,0.0,LAD,CIN,1,0,L,R,0,0,-1.35,1.17,0.55,2.83
2025-03-04,2025,"Ohtani, Shohei",660271,543766,field_out,hit_into_play,ground_ball,70.3,-9.0,141.43,156.88,9.0,62.73477337954905,557.0,,0.056,,0.0,0.0,0.0,LAD,CIN,5,1,L,R,2,2,-0.78,-0.74,-1.18,1.67
2025-03-06,2025,"Ohtani, Shohei",660271,676051,field_out,hit_into_play,fly_ball,80.5,31.0,67.88,110.13,265.0,-165.4081214353812,2476.0,,0.056,,0.0,0.0,0.0,LAD,TEX,3,0,L,R,1,2,-0.41,1.39,0.87,2.6
2025-03-06,2025,"Ohtani, Shohei",660271,571527,double,hit_into_play,ground_ball,100.6,5.0,54.02,118.24,124.0,-174.5596679689945,2032.0,,0.604,,1.25,1.0,1.0,LAD,TEX,1,0,L,R,2,2,-0.26,0.74,-0.86,2.77
2025-03-06,2025,"Ohtani, Shohei",660271,676961,field_out,hit_into_play,ground_ball,63.0,-11.0,138.86,166.41,14.0,71.49451545692037,2376.0,,0.05,,0.0,0.0,0.0,LAD,TEX,4,2,L,R,1,1,-0.01,1.08,0.71,3.18
2025-03-06,2025,"Ohtani, Shohei",660271,679156,single,hit_into_play,line_drive,106.6,13.0,78.5,105.17,263.0,-156.90409798614132,2209.0,,0.829,,0.9,1.0,0.0,LAD,TEX,6,2,L,L,0,1,1.2,0.76,0.15,2.32
2025-03-10,2025,"Ohtani, Shohei",660271,595928,double,hit_into_play,line_drive,118.5,10.0,174.22,146.21,180.0,23.31229196275941,2606.0,,0.759,,1.25,1.0,1.0,LAD,AZ,1,0,L,R,1,1,0.13,0.68,0.57,3.22
2025-03-10,2025,"Ohtani, Shohei",660271,686753,field_out,hit_into_play,ground_ball,103.3,-26.0,154.59,169.19,3.0,56.19339884586973,2396.0,,0.097,,0.0,0.0,0.0,LAD,AZ,2,1,L,R,1,2,-1.33,0.49,0.33,1.79
2025-03-11,2025,"Ohtani, Shohei",660271,680951,field_out,hit_into_play,ground_ball,99.6,-10.0,160.01,168.32,13.0,51.0558358208786,2007.0,,0.27,,0.0,0.0,0.0,LAD,CLE,2,2,L,L,0,1,0.49,1.19,0.65,2.51
2025-03-18,2025,"Ohtani, Shohei",660271,684007,field_out,hit_into_play,ground_ball,76.0,-20.0,148.47,156.14,7.0,52.994922533297604,2664.0,,0.066,0.06,0.0,0.0,0.0,CHC,LAD,1,0,L,L,1,1,1.06,1.66,-0.14,2.61
2025-03-18,2025,"Ohtani, Shohei",660271,518489,double,hit_into_play,line_drive,107.8,12.0,180.36,136.75,207.0,11.98303508007637,2477.0,,0.878,0.896,1.25,1.0,1.0,CHC,LAD,9,0,L,R,2,2,0.55,0.2,0.26,1.43
2025-03-18,2025,"Ohtani, Shohei",660271,676962,single,hit_into_play,ground_ball,107.4,7.0,187.0,116.09,138.0,-8.177966329881027,2479.0,,0.674,0.628,0.9,1.0,0.0,CHC,LAD,5,1,L,R,0,2,0.21,-0.06,-0.48,3.67
2025-03-18,2025,"Ohtani, Shohei",660271,684007,field_out,hit_into_play,line_drive,96.6,10.0,151.88,135.14,176.0,20.668087666867144,2606.0,,0.738,0.665,0.0,0.0,0.0,CHC,LAD,3,1,L,L,2,2,-1.21,0.51,-0.42,3.51
2025-03-19,2025,"Ohtani, Shohei",660271,657006,field_out,hit_into_play,fly_ball,105.1,41.0,66.85,99.87,324.0,-156.62801676866988,2375.0,,0.289,0.574,0.0,0.0,0.0,CHC,LAD,1,0,L,L,0,0,0.29,1.41,-0.18,2.92
2025-03-19,2025,"Ohtani, Shohei",660271,663878,home_run,hit_into_play,fly_ball,108.4,35.0,175.34,48.16,389.0,-56.77008795926534,2390.0,,0.8,1.642,2.0,0.0,3.0,CHC,LAD,5,1,L,R,2,2,-0.73,1.69,0.07,2.15
2025-03-19,2025,"Ohtani, Shohei",660271,657006,field_out,hit_into_play,ground_ball,89.9,-1.0,160.56,156.93,37.0,41.921270293040024,2690.0,,0.282,0.267,0.0,0.0,0.0,CHC,LAD,3,1,L,L,0,2,-0.98,0.03,-0.33,2.41
2025-03-23,2025,"Ohtani, Shohei",660271,667755,field_out,hit_into_play,ground_ball,95.5,-21.0,162.6,142.23,6.0,24.619367024079178,1855.0,,0.095,,0.0,0.0,0.0,LAD,LAA,4,0,L,R,1,2,-1.16,0.36,-0.03,2.29
2025-03-25,2025,"Ohtani, Shohei",660271,686799,field_out,hit_into_play,fly_ball,96.2,48.0,44.31,111.47,296.0,-170.48126506287812,2742.0,,0.014,,0.0,0.0,0.0,LAA,LAD,1,0,L,R,2,1,0.1,0.16,0.25,2.77
2025-03-25,2025,"Ohtani, Shohei",660271,686799,double,hit_into_play,line_drive,99.3,23.0,157.08,47.98,380.0,-67.38753050951902,2240.0,,0.367,,1.25,1.0,1.0,LAA,LAD,3,1,L,R,3,2,-1.28,0.33,0.4,1.49
2025-03-27,2025,"Ohtani, Shohei",660271,669373,field_out,hit_into_play,ground_ball,109.6,-34.0,164.3,163.55,4.0,44.448034614369796,2230.0,,0.093,0.094,0.0,0.0,0.0,LAD,DET,1,0,L,L,0,0,0.43,1.33,-0.09,2.59
