game_date,game_year,player_name,batter,pitcher,events,description,bb_type,launch_speed,launch_angle,hc_x,hc_y,hit_distance_sc,spray_angle,release_spin_rate,spin_rate_deprecated,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,babip_value,iso_value,home_team,away_team,inning,outs_when_up,stand,p_throws,balls,strikes,pfx_x,pfx_z,plate_x,plate_z
2024-03-01,2024,"Ohtani, Shohei",660271,595881,single,hit_into_play,ground_ball,,,172.13,110.98,,-16.566429337044593,,,,,0.9,1.0,0.0,LAD,CLE,3,1,L,R,0,0,,,,
2024-03-03,2024,"Ohtani, Shohei",660271,596295,triple,hit_into_play,fly_ball,,,89.55,48.53,,-114.87151889078027,,,,,1.6,1.0,2.0,LAD,COL,2,1,L,L,0,0,,,,
2024-03-03,2024,"Ohtani, Shohei",660271,596295,single,hit_into_play,line_drive,,,154.9,112.67,,-22.41000621127376,,,,,0.9,1.0,0.0,LAD,COL,1,0,L,L,0,0,,,,
2024-03-03,2024,"Ohtani, Shohei",660271,663562,single,hit_into_play,line_drive,,,142.8,107.23,,-44.95167632898994,,,,,0.9,1.0,0.0,LAD,COL,3,1,L,R,0,0,,,,
2024-03-05,2024,"Ohtani, Shohei",660271,670871,field_out,hit_into_play,fly_ball,,,108.31,78.18,,-109.61970696982277,,,,,0.0,0.0,0.0,LAD,LAA,5,2,L,R,0,1,,,,
2024-03-06,2024,"Ohtani, Shohei",660271,656629,single,hit_into_play,ground_ball,,,124.07,75.68,,-91.08026684605161,,,,,0.9,1.0,0.0,CWS,LAD,2,2,L,R,0,0,,,,
2024-03-06,2024,"Ohtani, Shohei",660271,656629,single,hit_into_play,line_drive,,,134.7,132.38,,37.26477533520008,,,,,0.9,1.0,0.0,CWS,LAD,1,0,L,R,1,0,,,,
2024-03-10,2024,"Ohtani, Shohei",660271,620454,field_out,hit_into_play,ground_ball,,,145.77,174.09,,67.06675730964398,,,,,0.0,0.0,0.0,LAD,AZ,4,0,L,L,0,0,,,,
2024-03-10,2024,"Ohtani, Shohei",660271,669459,double,hit_into_play,line_drive,,,226.47,101.82,,-12.867948620285153,,,,,1.25,1.0,1.0,LAD,AZ,6,0,L,L,0,0,,,,
2024-03-12,2024,"Ohtani, Shohei",660271,694738,home_run,hit_into_play,fly_ball,,,62.93,36.07,,-124.91368051001743,,,,,2.0,0.0,3.0,LAD,SF,6,2,L,R,2,2,,,,
